Organizations,About,Technology,Category,Topics
52°North Initiative for Geospatial Open Source Software GmbH,52°North works on innovative ideas and technologies in geoinformatics,"javascript, android, web,  java",Science and Medicine,"ogc, web processing, sensorweb, floating car data, earth observation"
AboutCode.org,Find the origin and license of code,"python,  javascript, nlp, automaton, search",Other,"license-scan, oss licensing, package managers, copyright, license compliance"
AerospaceResearch.net,making space together,"python,  c/c++, vhdl, boinc, java",Science and Medicine,"cubesats, space applications, software defined radio, distributed computing, simulations"
aimacode,"Code for the book ""Artificial Intelligence: A Modern Approach""","python, python 3,  java,  javascript, machine learning",Programming Languages and Development Tools,"machine learning, artificial intelligence,  education, open education"
Amahi,Making Home Networking and Storage Simple,"golang, ruby on rails,  android, ios, containers",End User Applications,"media server, storage server, streaming, backups, web apps"
Android Graphics Tools Team,Providing excellent tools for graphics developers and driver makers,"opengl, vulkan, spir-v, java,  c/c++",Programming Languages and Development Tools,"2d/3d graphics, developer tools, debugging, testing, bug finding"
AOSSIE - Australian Open Source Software Innovation and Education,Australian Umbrella Org for Open-Source Projects,"scala, javascript, isabelle proof assistant, android, ios",End User Applications,"electronic voting, natural language processing, environment, machine learning, philosophy"
Apertium,A free/open-source machine translation platform,"c++, python, xml, bash",Other,"machine translation, natural language processing, less-resourced languages"
apertus° Association,open technology for professional film production,"fpga, embedded, vhdl, c, linux",Graphics / Video / Audio / Virtual Reality,"image processing, camera, vision, fpga, embedded systems"
API Client Tools at Google,Industry-leading user experiences for networked APIs.,"openapi, grpc, protocol buffers, rpc, rest",Programming Languages and Development Tools,"apis, automation, code generation, api description"
appleseedhq,A modern open source rendering engine for animation and visual effects,"c++11, python, opengl",Graphics / Video / Audio / Virtual Reality,"computer graphics, image synthesis, rendering, animation, simulation"
Ardupilot.org,The worlds most advanced open source autopilot,"drones, python, linux, robotics, c/c++",Other,"vison, robotics, embedded systems, real-time os, drones"
Bazel,"Build and test software of any size, quickly and reliably","windows,  c/c++,  java, bazel",Programming Languages and Development Tools,"build tools, developer tools"
BeagleBoard.org,Open hardware computing from kindergarten to kickstarter,"raspberry pi, linux kernel, javascript, python, hardware acceleration",Other,"real time,  robotics, hardware, machine learning, privacy/security"
Berkman Klein Center for Internet and Society,"Exploring cyberspace, sharing in its study, & helping to pioneer its development","ruby on rails, meteor.js, elasticsearch,  python,  java",Other,"web, research, education, internet freedom, internet censorship"
"Biomedical Informatics, Emory University","Department of Biomedical Informatics (BMI), Emory University School of Medicine","python, java, deep learning, medical imaging, tensorflow",Science and Medicine,"data integration, distributed systems, cloud, precision medicine, science and medicine"
Blender Foundation,"Free and open source 3D creation for everyone, forever.","c, c++, python, opengl",Graphics / Video / Audio / Virtual Reality,"3d, modeling, rendering, animation, vfx"
Boost C++,Boost provides free peer-reviewed portable C++ source libraries,c++ libraries c++11 c++14 c++17 c++20,Programming Languages and Development Tools,c++ libraries c++ standard
BRL-CAD,"Solid geometry, computer graphics, 3D printing, modeling, CAD, CAM, & other CAx!","c/c++, opengl, opencl, python, javascript",Graphics / Video / Audio / Virtual Reality,"ray tracing, solid geometry, 2d/3d graphics, cad/cam/cae, performance"
Buildroot,Making Embedded Linux easy,"gnu make, kconfig, python, shell",Programming Languages and Development Tools,"embedded systems, linux, build tools, compilation"
Canadian Center for Computational Genomics,Analytical solutions for Next-Generation Sequencing data,"python,  r-project,  javascript,  react,  nodejs",Science and Medicine,"bioinformatics,  science,  visualization,  statistics,  web"
Catrobat,Computational Thinking for All with Free Visual Coding Apps,"java, android, swift, symfony",Programming Languages and Development Tools,"visual programming, app development, gaming, web"
cBioPortal for Cancer Genomics,Developing open source solutions for discovery from complex cancer data,"java, javascript, reactjs, database, web apps",Data and Databases,"genomics, bioinformatics, big data, data visualization, cancer research"
CBMI@UTHSC,We develop Biomedical and Clinical informatics applications,"reactjs,  python, flask, javascript, tensorflow",Science and Medicine,"machine learning, deep learning, sepsis prediction, sepsis detection,  web applications"
CCExtractor Development,"Tools to make the world more accessible, starting with media","ai, c, python, cloud, javascript",Graphics / Video / Audio / Virtual Reality,"vision, ai, subtitles, accessibility, tv"
Center for Research in Open Source Software at UC Santa Cruz,Bridging Gap Between Student Work and Successful Open Souce Projects,"python,  javascript,  c/c++, verilog",Other,"cloud databases, reproducibility, ceph, architecture, generative text"
CERN-HSF,Umbrella organization for Particle (High-Energy) Physics-related projects," c/c++, python, data analysis, parallelization, machine learning",Science and Medicine,"physics, particle physics, high-energy physics, big data, machine learning"
CGAL project,C++ library of computational geometry and geometry processing,"c++, git, swig, python",Science and Medicine,"computational geometry, geometry processing, mesh processing, arrangement, point set processing"
CHAOSS,Aimed at improving our understanding of open source health and sustainability,"python, javascript, jupyter, mysql, elasicsearch",Social / Communications,"community, health, sustainability, metrics"
Chapel,a Productive Parallel Programming Language,"chapel, python, high performance computing, c, c++",Programming Languages and Development Tools,"programming languages, compilers, high performance computing, distributed computing, parallel computing"
Checker Framework,"Prevent programming errors before they happen, via easy-to-use verification",java,Programming Languages and Development Tools,"pragrammer productivity, software engineering, verification, bug finding, programming languages"
CircuitVerse.org,Have fun exploring logic circuits right from your browser!,"rails,  javascript, postgresql, bootstrap, html5 canvas",Web,"web, simulations, pedagogy,  education, digital logic design"
CiviCRM,Growing and sustaining relationships,"php, mysql,  angularjs, javascript",Data and Databases,crm
"CLiPS, University of Antwerp",Computational Psycholinguistics," python,  javascript, mongodb",Data and Databases,"natural language processing, machine learning, artificial intelligence, text analytics, text generation"
Cloud Native Computing Foundation (CNCF),Sustaining and Integrating Cloud Native Open Source Technologies,"kubernetes, golang, prometheus, docker",Cloud,"cloud, containers"
CloudCV,Building platforms for reproducible AI research,"python 3, django, aws, angularjs, docker",Cloud,"machine learning, artificial intelligence, deep-learning, computer vision"
coala,Linting and Fixing Code for All Languages,"python 3,  java,  angularjs,  haskell,  docker",Programming Languages and Development Tools,"code analysis,  chatops,  devops"
Computational Biology @ University of Nebraska-Lincoln,"Tool development in bioinformatics, computational biology, data visualization","javascript, react, postgresql, webgl",Science and Medicine,"web application, bioinformatics, computational biology, data science, network biology"
coreboot,open source firmware projects,"c, assembler",Operating Systems,"firmware, hardware"
Creative Commons,"Nonprofit building tools to promote digital creativity, sharing, and innovation.","javascript, python, postgresql, wordpress, elasticsearch",Other,"copyleft, legal, nonprofit, web, creative commons"
CRIU (Checkpoint/Restore in User-space),CRIU (Checkpoint/Restore in User-space),"docker, linux, containers, kernel",Operating Systems,"cloud, save/restore, load-balancing, zero-downtime, migration"
Cuneiform Digital Library Initiative (CDLI),International digital library of artifacts inscribed with cuneiform writing,"python, php, mysql,  java, html/css",Data and Databases,"computer vision, nlp, lod, data processing pipeline, data-collection"
D Programming Language,"Fast code, fast.","dlang, linux, windows, osx, bsd",Programming Languages and Development Tools,"programming languages, object-oriented programming, functional programming, web programming, system programming"
DBpedia,Global and Unified Access to Knowledge.," apache spark,  python,  javascript, skala, java",Data and Databases,"semantic web,  linked data,  ontologies,  wikipedia, knowledge graph"
Debian,The Universal Operating System,"git, python, javascript,  c/c++, irc",Operating Systems," operating system, packaging"
Developers Italia,An open community of digital public services developers,"python, go, scala, node.js, html/css/js",Other,"open government, public code,  open source,  web applications, open data"
Digital Impact Alliance,Supporting open source projects for a digital society that serves everyone.," android, java, php, python, javascript",Other,"end user application, humanitarian, international, social good, charity"
Django Software Foundation,The web framework for perfectionists with deadlines.,"python, django",Web,web development
Drupal,"Drupal is a Free, Open, Modular CMS written in PHP. Let's make something amazing","php, symfony, sql, javascript, drupal 8",Web,"web development, content management, web application, martech, backend"
Earth Science Information Partners,Supporting community development of visionary Earth science data technology.,"python, kubernetes, jupyter, deep learning, gdal",Science and Medicine,"earth observation, cloud databases,  data visualisation, semantic web, data-science"
Fedora Project,"Fedora Linux is built on the foundations of Freedom, Friends, Features, & First"," python, html/css/js, rest, angular, golang",Operating Systems,"containers, linux, distribution, mobile, web development"
FFmpeg,"A complete, cross-platform solution to record, convert and stream multimedia.","c99, assembler",Graphics / Video / Audio / Virtual Reality,"video, audio, multimedia, image processing"
FOSDEM,The organization that handles all aspects of the FOSDEM conference,"javascript, grafana, voctomix, influxdb, ruby on rails",Programming Languages and Development Tools,"conference, web development, rails application, video processing"
FOSSASIA,Improving People's live with Open Tech,"javascript, python, java, reactjs, c",Other,"artificial intelligence, event management, open science, voice assistants, search"
FOSSology Project,FOSSology is an open source license compliance software system and toolkit.,"postgresql, php,  c/c++, jquery, bash",Other,"compliance, license-scan, oss licensing, spdx, oss compliance"
FrameNet Brasil at the Federal University of Juiz de Fora,Natural Language Understanding with structured computational semantics,"php, mysql, javascript,  python",Data and Databases,"natural language processing, multimodality, natural language understanding, image processing, machine translation"
Free and Open Source Silicon Foundation,Working together to improve the Free and Open Source Silicon ecosystem,"verilog, compiler, risc-v, web development, jenkins",Other,"hardware, web services, debug, simulation, electronic design tools"
FreeBSD,FreeBSD: The Foundation of the Internet," c/c++, llvm, shell script,  assembly, make",Operating Systems,"virtualization,  kernel, cloud,  embedded systems, security"
FreeType,FreeType font rendering library,"c, gnu make, gnu autotools, python, fonts",Graphics / Video / Audio / Virtual Reality,"fonts, truetype, opentype, rendering, graphics"
freifunk,Freifunk is a non-commercial initiative for free and open wireless networks.,"c, python, ruby, openwrt, html/css/js",Social / Communications,"network, embedded systems, web apps, wireless communications, software defined networking"
"Genes, Genomes and Variation",Authoritative databases of genome sequences and their function,"perl, mysql,  javascript,  python, rest",Science and Medicine,"genomics, data analysis, databases,  scientific visualization"
GENIVI Alliance,Developing open software for IVI and the connected car.,"yocto, embedded, automotive, some/ip",Other,"automotive, graphics, communication, bigdata,  embedded systems"
Gentoo Foundation,"A flexible, source-based Linux distribution.","shell script, bash,  c/c++,  python, linux kernel",Operating Systems,"operating systems, package management,  embedded systems, application security, init systems"
Git,"fast, scalable, distributed revision control system","c, shell, git",Programming Languages and Development Tools,"version-control, dvcs"
Global Alliance for Genomics and Health,We develop open standards and tools for genomics to benefit human health," java, mongodb, spring",Science and Medicine,"genomics, genetics, bioinformatics, web, standards"
GNOME,The elegant and ethical desktop experience,"c, javascript, gtk+, python, rust",Operating Systems,"desktop, design, operating system, end user application, application"
GNSS-SDR,An open source Global Navigation Satellite Systems software-defined receiver," c/c++, c++ libraries c++11 c++14 c++17 c++20, c++17, gnss, sdr",Science and Medicine,"gnss,  geolocation,  navigation,  software defined radio,  communications"
GNU Compiler Collection,A set of compilers produced by the GNU project," c/c++, gnu autotools",Programming Languages and Development Tools,"compilers, toolchain, openmp"
GNU Mailman,the GNU Mailing List Manager,"python 3, email, rest, django",End User Applications,email
GNU Octave,Free Your Numbers,"c++, hg",Programming Languages and Development Tools,"mathematics, numerical computation, numerical methods, matlab, scientific computing"
GNU Radio,GNU Radio: The free & open software radio ecosystem.,"python, c++, qt, android",Science and Medicine,"software defined radio, software radio, radar, wireless communications, digital signal processing"
Godot Engine,Multi-platform fully-featured 2D and 3D game engine,"c++, gdscript, opengl, cpp, github",Graphics / Video / Audio / Virtual Reality,"game engine,  graphics, game development, real time, cross-platform"
gprMax,Simulating electromagnetic wave propagation for Ground Penetrating Radar,"python, cuda, openmp, cython, mpi",Science and Medicine,"engineering, geophysics, science, electromagnetics, ground penetrating radar"
Haiku,Integrated operating system for personal computers,"c++, unix, posix, arm, x86",Operating Systems,"desktop, graphics, filesystems, drivers, kernel"
Haskell.Org,"Standardized, statically typed, lazy functional programming language","haskell, ghc, servant, codeworld, cabal",Programming Languages and Development Tools,"haskell, functional programming, education, build tools, compilers"
Hydra Ecosystem,Automate REST APIs. Next generation API clients.,"python, redis, flask, javascript, sql",Web,"semantic web, api, web, hydra, docker"
INCF,Advancing global collaborative brain research,"python, javascript, jupyter, c++, xml",Science and Medicine,"neuroscience, brain modelling, bio/neuro image processing, big data,  science"
Inkscape,"Inkscape is a professional vector graphics editor for Windows, Mac OS X & Linux.","svg, css, c++11, gtk,  python",Graphics / Video / Audio / Virtual Reality,vector graphics
Institut für Angewandte Informatik (InfAI) e.V.,Putting scientific research into practice.,"java,  javascript, a-frame, neo4j, htc vive",Graphics / Video / Audio / Virtual Reality,"virtual reality, software quality, visualization, software analytics,  web"
Intel Media And Audio For Linux,Intel Media And Audio For Linux,"video, audio, ffmpeg, gstreamer, hardware acceleration",Graphics / Video / Audio / Virtual Reality,"video processing, audio firmware, hardware accelerated media processing, video framework, video decoding/encoding"
InterMine,"Integrating biological data sources, making it easy to query and analyse data","java,  python,  javascript,  clojure,  r",Science and Medicine,"bioinformatics,  web,  open science,  biology,  data visualisation"
Internet Archive,Universal Access to All Knowledge,"python, javascript, node.js, php, elasticsearch",Other,"library, archive, web archives"
Internet Systems Consortium,We support the infrastructure of the Internet with Open Source," c/c++, c99, mysql, python, javascript",Other,"internet, networking, dhcp, dns, infrastructure"
JabRef,The open-source reference manager,"java, javafx, latex",End User Applications,"academia, reference manager, bibtex, pdf"
JBoss Community,Community of Java projects around JBoss Middleware,"java, golang, react",Programming Languages and Development Tools,"cloud, database, kubernetes, codeuino"
JdeRobot - Universidad Rey Juan Carlos,A software toolkit for developing applications in Robotics and Computer Vision," ros, gazebo,  python,  c/c++, opencv",Other,"robotics,  education, computer vision, developer tools"
Jenkins project,Open-source automation server for building great things at any scale," java,  javascript, docker, kubernetes, machine learning",Programming Languages and Development Tools,"continuous integration, continuous delivery, devops, developer tools, automation"
Joomla,"Joomla, the flexible platform empowering website creators.","php,  javascript, mysql, html/css, cms",Web,"web, web development, web application, programming languages, cms"
JSK Robotics Laboratory / The University of Tokyo,JSK is focusing on the fundamental functions & systems for intelligent robots,"ros, lisp",Science and Medicine,"robotics, ros"
Kapitan,Generic templated configuration management for kubernetes and more,"kubernetes, terraform, python, jinja2, jsonnet",Programming Languages and Development Tools,"cloud, kubernetes"
KDE Community,Experience Freedom!,"c++, qt, qt5",End User Applications,"privacy, deskstop, desktop application, education, science"
Kiwix,Internet content for people without internet access,"android, java, c++, python, javascript",End User Applications,offline access
KNIME,Open for Innovation,"javascript, java, tensorflow",Data and Databases,"data analytics, data science, machine learning, deep learning, image processing"
Kodi Foundation,The ultimate entertainment center,"c++, ffmpeg, sqlite, mysql, python",End User Applications,"media, video, audio, games"
LabLua,Programming Languages Research with emphasis on the Lua language,"lua,  céu",Programming Languages and Development Tools,"scripting languages,  reactive programming, kernel scripting"
Libre Space Foundation,Open-source software and hardware technologies for space," python, django, arduino, raspberry pi,  c/c++",Science and Medicine,"web applications, hardware, cubesats, space applications,  software defined radio"
LibreHealth,Healthcare for Humanity,"java, javascript, webcomponents, mysql",Science and Medicine,"web apps, ictd, health, global health, medicine"
LibreOffice,LibreOffice is a free and open source office suite.,"c++,  python,  java",End User Applications,"office suite, android, end user application, desktop application"
Libvirt,virtualization abstraction library,"virtualization, kvm, xen, c,  python",Cloud,"virtualization, virtual machine, libraries, cloud"
Linkerd,Ultralight service mesh for Kubernetes and beyond,"golang, rust, kubernetes,  react, prometheus",Cloud,"service mesh, cloud native, networking, kubernetes, dev-ops"
